,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
72,Jonah Hex (New Earth),Public Identity,Good,Blue,Blond,Male,,291.0,1972-03-01,1972.0,dc
73,Rex Tyler (New Earth),Secret Identity,Good,Blue,Brown,Male,,288.0,1940-03-01,1940.0,dc
74,Pamela Isley (New Earth),Secret Identity,Neutral,Green,Red,Female,,286.0,1966-06-01,1966.0,dc
75,Pieter Cross (New Earth),Secret Identity,Good,Blue,Black,Male,,284.0,1999-02-01,1999.0,dc
76,Jonathan L. Thunder (New Earth),Secret Identity,Good,Blue,Blond,Male,,282.0,1940-01-01,1940.0,dc
77,Mari McCabe (New Earth),Secret Identity,Good,Amber,Brown,Female,,268.0,1981-07-01,1981.0,dc
78,Scott Free (New Earth),Secret Identity,Good,Blue,Black,Male,,268.0,1971-04-01,1971.0,dc
79,Martha Clark (New Earth),Public Identity,Good,Blue,White,Female,,266.0,1986-10-01,1986.0,dc
80,Boston Brand (New Earth),Secret Identity,Good,Blue,,Male,,262.0,1967-10-01,1967.0,dc
81,Daniel Turpin (New Earth),Public Identity,,Brown,Brown,Male,,261.0,1942-06-01,1942.0,dc
82,John Zatara (New Earth),Secret Identity,Good,Blue,Black,Male,,256.0,1938-06-01,1938.0,dc
83,Jonathan Kent (New Earth),Public Identity,Good,Blue,White,Male,,254.0,1986-10-01,1986.0,dc
84,Oswald Cobblepot (New Earth),Public Identity,,Blue,Black,Male,,253.0,1941-12-01,1941.0,dc
85,Tatsu Yamashiro (New Earth),Secret Identity,Good,Brown,Black,Female,,252.0,1983-07-01,1983.0,dc
86,Lawrence Trainor (New Earth),Secret Identity,Good,Blue,Blond,Male,,250.0,1963-06-01,1963.0,dc
87,Albert Rothstein (New Earth),Secret Identity,Good,Blue,,Male,,245.0,1983-09-01,1983.0,dc
88,Brion Markov (New Earth),Secret Identity,Good,Green,Strawberry,Male,,245.0,1983-07-01,1983.0,dc
89,Sanderson Hawkins (New Earth),Secret Identity,Good,Blue,Blond,Male,,241.0,1941-12-01,1941.0,dc
90,Jonathan Chambers (New Earth),Secret Identity,Good,Blue,Blond,Male,,239.0,1941-09-01,1941.0,dc
91,Orion (New Earth),Public Identity,Good,Blue,Strawberry,Male,,237.0,1971-03-01,1971.0,dc
92,Thaal Sinestro (New Earth),Public Identity,Neutral,Yellow,Black,Male,,237.0,1961-08-01,1961.0,dc
93,Cassandra Cain (New Earth),Secret Identity,Good,Brown,Black,Female,,235.0,1999-07-01,1999.0,dc
94,Jason Todd (New Earth),Secret Identity,Neutral,Blue,Black,Male,,235.0,1987-06-01,1987.0,dc
95,Susan Dearbon (New Earth),Public Identity,Good,,Black,Female,,235.0,1961-03-01,1961.0,dc
96,Jean-Paul Valley (New Earth),Secret Identity,Good,Blue,Blond,Male,,234.0,1992-10-01,1992.0,dc
97,Hippolyta (New Earth),Public Identity,Good,Blue,Black,Female,,231.0,1987-02-01,1987.0,dc
98,Joseph Wilson (New Earth),Secret Identity,Neutral,Green,Blond,Male,,229.0,1984-05-01,1984.0,dc
99,Bernhard Baker (New Earth),Secret Identity,Good,Blue,Blond,Male,,229.0,1965-09-01,1965.0,dc
100,Sylvester Pemberton (New Earth),Secret Identity,Good,Blue,Black,Male,,229.0,1941-10-01,1941.0,dc
101,Jesse Chambers (New Earth),Public Identity,Good,Blue,Blond,Female,,228.0,1992-08-01,1992.0,dc
102,Floyd Lawton (New Earth),Secret Identity,Neutral,Blue,Brown,Male,,227.0,1950-06-01,1950.0,dc
103,Mera (New Earth),Public Identity,,Blue,Red,Female,,226.0,1963-10-01,1963.0,dc
104,Tora Olafsdotter (New Earth),Public Identity,Good,Blue,White,Female,,225.0,1988-04-01,1988.0,dc
105,George Harkness (New Earth),Secret Identity,,Brown,Brown,Male,,224.0,1960-12-01,1960.0,dc
106,Amanda Waller (New Earth),Public Identity,Good,Brown,Black,Female,,222.0,1986-11-01,1986.0,dc
107,Jonathan Crane (New Earth),Public Identity,Bad,Blue,Brown,Male,,222.0,1941-09-01,1941.0,dc
108,Leonard Snart (New Earth),Secret Identity,,Brown,Brown,Male,,219.0,1957-06-01,1957.0,dc
109,Shiera Sanders (New Earth),Secret Identity,Good,Brown,Red,Female,,219.0,1940-01-01,1940.0,dc
110,Maxwell Lord IV (New Earth),Public Identity,Neutral,Black,Brown,Male,,218.0,1987-05-01,1987.0,dc
111,Jeb Stuart (New Earth),Public Identity,Good,Blue,Brown,Male,,218.0,1961-05-01,1961.0,dc
112,Damian Wayne (Prime Earth),Secret Identity,Good,Blue,Black,Male,,216.0,1987-09-01,1987.0,dc
113,Big Barda (New Earth),Secret Identity,Good,Blue,Black,Female,,216.0,1971-10-01,1971.0,dc
114,Niles Caulder (New Earth),Public Identity,Good,Blue,Grey,Male,,214.0,1963-06-01,1963.0,dc
115,James Corrigan (New Earth),Secret Identity,Good,Blue,Red,Male,,214.0,1940-02-01,1940.0,dc
116,Samuel Bradley (New Earth),Public Identity,Good,Grey,Grey,Male,,213.0,1937-03-01,1937.0,dc
117,Richard Tyler (New Earth),Public Identity,Good,Brown,Brown,Male,,212.0,1985-11-01,1985.0,dc
118,James Ewell Brown Stuart (New Earth),Public Identity,Good,,Brown,Male,,212.0,1961-05-01,1961.0,dc
119,Todd Rice (New Earth),Public Identity,Good,Brown,Brown,Male,Homosexual,208.0,1983-09-01,1983.0,dc
120,Yz (New Earth),Secret Identity,Good,Red,,Male,,207.0,1940-01-01,1940.0,dc
121,Matrix (Pocket Universe),Public Identity,Good,Blue,Blond,Female,,206.0,1988-04-01,1988.0,dc
122,Wolfgang Winks (New Earth),Public Identity,Good,,Black,Male,,206.0,1942-11-01,1942.0,dc
123,William Glenmorgan (New Earth),Public Identity,Good,Blue,Black,Male,,199.0,1940-06-01,1940.0,dc
124,Stephanie Brown (New Earth),Secret Identity,Good,Blue,Blond,Female,,198.0,1992-08-01,1992.0,dc
125,Raymond Terrill (New Earth),Secret Identity,Good,Green,Red,Male,,192.0,1992-02-01,1992.0,dc
126,Adam Blake (New Earth),Public Identity,Good,Hazel,Brown,Male,,191.0,1951-06-01,1951.0,dc
127,Kimiyo Hoshi (New Earth),Secret Identity,,Black,Black,Female,,189.0,1985-07-01,1985.0,dc
128,Jack Ryder (New Earth),Secret Identity,Good,Blue,Black,Male,,188.0,1968-04-01,1968.0,dc
129,Vandar Adg (New Earth),Public Identity,,Brown,Black,Male,,188.0,1943-12-01,1943.0,dc
130,Justin Arthur (New Earth),Secret Identity,Good,Blue,Blond,Male,,184.0,1941-09-01,1941.0,dc
131,Max Mercury (New Earth),Secret Identity,Good,Blue,Grey,Male,,183.0,1940-11-01,1940.0,dc
132,Abigail Arcane (New Earth),Public Identity,Good,Blue,White,Female,,182.0,1973-01-01,1973.0,dc
133,Thomas Haukins (New Earth),Secret Identity,Good,Blue,Blond,Male,,181.0,1947-06-01,1947.0,dc
134,Margaret Sawyer (New Earth),Public Identity,,Blue,,Female,Homosexual,180.0,1987-04-01,1987.0,dc
135,Waylon Jones (New Earth),Public Identity,Bad,Red,,Male,,180.0,1983-03-01,1983.0,dc
136,Travis Morgan (New Earth),Public Identity,Good,Blue,White,Male,,180.0,1975-11-01,1975.0,dc
137,Gorilla Grodd (New Earth),Public Identity,Bad,Grey,Black,Male,,179.0,1959-05-01,1959.0,dc
138,Talia al Ghul (New Earth),Secret Identity,Bad,Brown,Brown,Female,,177.0,1971-05-01,1971.0,dc
139,Adam Strange (New Earth),Public Identity,,Blue,Blond,Male,,177.0,1958-12-01,1958.0,dc
140,Patrick Dugan (New Earth),Secret Identity,Good,Blue,Red,Male,,177.0,1941-10-01,1941.0,dc
141,Daniel Cassidy (New Earth),Secret Identity,Good,Yellow,,Male,,176.0,1984-06-01,1984.0,dc
142,James Harper Clone (New Earth),Public Identity,Good,Blue,Brown,Male,,176.0,1971-01-01,1971.0,dc
143,Thomas Kalmaku (New Earth),Public Identity,Good,Brown,Black,Male,,176.0,1960-10-01,1960.0,dc
144,Gabrielle Doe (New Earth),Secret Identity,Good,Blue,Blond,Female,,175.0,1983-07-01,1983.0,dc
145,Henry Hall (New Earth),Secret Identity,Good,Red,Brown,Male,,175.0,1968-06-01,1968.0,dc
146,Connor Hawke (New Earth),Secret Identity,Good,Green,Blond,Male,,174.0,1994-10-01,1994.0,dc
147,Linda Park (New Earth),Public Identity,,Brown,Black,Female,,174.0,1989-07-01,1989.0,dc
148,Cyrus Gold (New Earth),Secret Identity,Bad,Black,White,Male,,174.0,1944-10-01,1944.0,dc
149,Edward Nashton (New Earth),Public Identity,Neutral,Blue,Black,Male,,173.0,1988-01-01,1988.0,dc
150,Arisia Rrab (New Earth),Public Identity,Good,Yellow,Blond,Female,,173.0,1981-05-01,1981.0,dc
151,Robert Crane (New Earth),Secret Identity,Good,Red,,Male,,171.0,1942-04-01,1942.0,dc
152,Joan Williams (New Earth),Public Identity,,Blue,Grey,Female,,171.0,1940-01-01,1940.0,dc
153,William Magnus (New Earth),Public Identity,Good,Blue,Brown,Male,,170.0,1962-04-01,1962.0,dc
154,Mary Batson (New Earth),Secret Identity,Good,Blue,Brown,Female,,168.0,1995-04-01,1995.0,dc
155,Jean Loring (New Earth),Public Identity,Bad,Green,Black,Female,,168.0,1961-10-01,1961.0,dc
156,Oberon (New Earth),Public Identity,,Blue,White,Male,,167.0,1971-04-01,1971.0,dc
157,Grant Emerson (New Earth),Public Identity,Good,Blue,Black,Male,,166.0,1994-04-01,1994.0,dc
158,Rita Farr (New Earth),Secret Identity,Good,Brown,Brown,Female,,166.0,1963-06-01,1963.0,dc
159,Jason Rusch (New Earth),Secret Identity,Good,Brown,Black,Male,,165.0,2004-07-01,2004.0,dc
160,Hector Hall (New Earth),Secret Identity,Good,Blue,White,Male,,165.0,1983-09-01,1983.0,dc
161,Mercury (New Earth),Secret Identity,Good,Photocellular,,Male,,165.0,1962-04-01,1962.0,dc
162,Jaime Reyes (New Earth),Secret Identity,Good,Brown,Black,Male,,164.0,2006-02-01,2006.0,dc
163,Platinum (New Earth),Secret Identity,Good,Photocellular,,Female,,164.0,1962-04-01,1962.0,dc
164,Andre Chavard (New Earth),Public Identity,Good,,Brown,Male,,164.0,1942-06-01,1942.0,dc
165,Daniel Leong (New Earth),Secret Identity,Good,Black,Black,Male,,164.0,1942-02-01,1942.0,dc
166,Vril Dox II (New Earth),Public Identity,Good,Green,Blond,Male,,163.0,1964-02-01,1964.0,dc
167,"Roy Raymond, Sr. (New Earth)",Public Identity,Good,Blue,Brown,Male,,163.0,1949-11-01,1949.0,dc
168,Uncle Sam (New Earth),Secret Identity,,Blue,White,Male,,162.0,1940-07-01,1940.0,dc
169,Metron (New Earth),Secret Identity,Neutral,Blue,Black,Male,,161.0,1971-03-01,1971.0,dc
170,Iron (New Earth),Secret Identity,Good,Photocellular,,Male,,161.0,1962-04-01,1962.0,dc
171,Lead (New Earth),Secret Identity,Good,Photocellular,,Male,,161.0,1962-04-01,1962.0,dc
172,Lucas Carr (New Earth),Public Identity,,Blue,Brown,Male,,161.0,1960-03-01,1960.0,dc
173,Hartley Rathaway (New Earth),Secret Identity,Good,Blue,Red,Male,Homosexual,160.0,1959-05-01,1959.0,dc
174,Lana Lang (New Earth),Public Identity,Good,Green,Red,Female,,159.0,1986-10-01,1986.0,dc
175,Rose Wilson (New Earth),Secret Identity,Good,Blue,White,Female,,158.0,1992-10-01,1992.0,dc
176,DeSaad (New Earth),Public Identity,Bad,Black,Black,Male,,158.0,1971-05-01,1971.0,dc
177,Charles Taine (Pre-Zero Hour),Secret Identity,Good,Black,Black,Male,,158.0,1961-05-01,1961.0,dc
178,Bane (New Earth),Secret Identity,Bad,Brown,Brown,Male,,157.0,1993-01-01,1993.0,dc
179,Salakk (New Earth),Secret Identity,Good,White,,Male,,155.0,1982-02-01,1982.0,dc
180,Tin (New Earth),Secret Identity,Good,Photocellular,,Male,,155.0,1962-04-01,1962.0,dc
181,Samuel Morgan (New Earth),,Good,,Red,Male,,155.0,1937-03-01,1937.0,dc
182,Eve Eden (New Earth),Secret Identity,Neutral,Blue,Blond,Female,,154.0,1966-09-01,1966.0,dc
183,Harleen Quinzel (New Earth),Public Identity,Bad,Blue,Blond,Female,,153.0,1999-10-01,1999.0,dc
184,Benjamin Turner (New Earth),Secret Identity,Neutral,Brown,Black,Male,,153.0,1975-05-01,1975.0,dc
185,Mark Mardon (New Earth),Secret Identity,Bad,Blue,Black,Male,,152.0,1960-01-01,1960.0,dc
186,Teth-Adam (New Earth),Secret Identity,Neutral,Brown,Black,Male,,152.0,1945-12-01,1945.0,dc
187,Catherine Grant (New Earth),Public Identity,Good,Blue,Blond,Female,,151.0,1987-01-01,1987.0,dc
188,Terrence Sloane (New Earth),Secret Identity,Good,Blue,Brown,Male,,151.0,1942-01-01,1942.0,dc
189,Jason Blood (New Earth),Public Identity,Good,Blue,Red,Male,,148.0,1972-09-01,1972.0,dc
190,Gold (New Earth),Secret Identity,Good,Photocellular,,Male,,147.0,1962-04-01,1962.0,dc
191,Victor Fries (New Earth),Secret Identity,Bad,Blue,,Male,,143.0,1959-02-01,1959.0,dc
192,Thomas Wayne (New Earth),Public Identity,Good,Brown,Brown,Male,,142.0,1987-02-01,1987.0,dc
193,Arthur Light (New Earth),Public Identity,Bad,Black,Black,Male,,142.0,1962-06-01,1962.0,dc
194,Lester Davis (New Earth),Public Identity,Good,,Black,Male,,142.0,1957-02-01,1957.0,dc
195,Artemis of Bana-Mighdall (New Earth),Public Identity,Good,Green,Red,Female,,141.0,1994-09-01,1994.0,dc
196,Alanna Strange (New Earth),Public Identity,Good,Blue,Black,Female,,141.0,1958-12-01,1958.0,dc
197,Nuidis Vulko (New Earth),Public Identity,Good,Blue,White,Male,,140.0,1967-09-01,1967.0,dc
198,Steven Dayton (New Earth),Secret Identity,Good,Blue,Brown,Male,,140.0,1964-11-01,1964.0,dc
199,Lee Travis (New Earth),Secret Identity,Good,Black,Black,Male,,139.0,1938-10-01,1938.0,dc
200,Martin Stein (New Earth),Secret Identity,Good,Brown,Grey,Male,,138.0,1978-03-01,1978.0,dc
201,Solis (New Earth),Secret Identity,,Blue,Strawberry,Male,,138.0,1971-03-01,1971.0,dc
202,Alfred Twidgett (New Earth),Public Identity,,,,Male,,137.0,1942-06-01,1942.0,dc
203,Tubby Watts (New Earth),,Good,,Red,Male,,137.0,1941-09-01,1941.0,dc
204,Unknown Soldier I (New Earth),Secret Identity,Good,Blue,Blond,Male,,136.0,1970-07-01,1970.0,dc
205,Giovanni Giuseppe (New Earth),Secret Identity,Neutral,Blue,Blond,Male,,136.0,1960-07-01,1960.0,dc
206,Cynthia Reynolds (New Earth),Secret Identity,Good,Blue,Black,Female,,134.0,1984-10-01,1984.0,dc
207,Victoria Vale (New Earth),Public Identity,Good,Blue,Red,Female,,134.0,1948-10-01,1948.0,dc
208,Lucius Fox (New Earth),Public Identity,Good,Brown,Black,Male,,133.0,1979-01-01,1979.0,dc
209,Ganthet (New Earth),Public Identity,Good,Green,White,Male,,132.0,,1992.0,dc
210,Izaya (New Earth),Public Identity,Good,Grey,White,Male,,132.0,1971-03-01,1971.0,dc
211,Barbara Ann Minerva (New Earth),Public Identity,,Brown,,Female,,131.0,1987-08-01,1987.0,dc
212,Rory Regan (New Earth),Secret Identity,Good,Blue,Brown,Male,,131.0,1976-09-01,1976.0,dc
213,Eclipso (New Earth),Secret Identity,Bad,Red,Black,Male,,131.0,1963-07-01,1963.0,dc
214,Mick Rory (New Earth),Public Identity,,Blue,,Male,,131.0,1963-11-01,1963.0,dc
215,Kyle Morgan (New Earth),Public Identity,Good,Brown,Blond,Male,,131.0,1957-02-01,1957.0,dc
216,Matthew Ryan (New Earth),Public Identity,Good,Blue,Red,Male,,131.0,1957-02-01,1957.0,dc
217,Dinah Drake (New Earth),Secret Identity,Good,Blue,Black,Female,,131.0,1947-08-01,1947.0,dc
218,Robert Langstrom (New Earth),Secret Identity,Neutral,Brown,Brown,Male,,130.0,1970-06-01,1970.0,dc
219,Sargent Steel (New Earth),Public Identity,Good,Blue,Brown,Male,,130.0,1964-12-01,1964.0,dc
220,Victory (New Earth),,Good,Black,White,Male,,130.0,1941-09-01,1941.0,dc
221,Katma Tui (New Earth),Public Identity,Good,,Black,Female,,129.0,1964-07-01,1964.0,dc
222,Walter Haley (New Earth),Public Identity,Good,Brown,Brown,Male,,129.0,1957-02-01,1957.0,dc
223,Charles Victor Szasz (New Earth),Secret Identity,Good,Blue,Strawberry,Male,,128.0,1967-06-01,1967.0,dc
224,Ares (New Earth),Public Identity,Bad,Red,Blond,Male,,127.0,1987-02-01,1987.0,dc
225,Rip Carter (New Earth),Public Identity,Good,,Black,Male,,127.0,1942-06-01,1942.0,dc
226,Eradicator (New Earth),Public Identity,Good,Photocellular,Black,Male,,126.0,1989-05-01,1989.0,dc
227,Emil Hamilton (New Earth),Public Identity,Bad,Hazel,Grey,Male,,126.0,1987-01-01,1987.0,dc
228,Richard Swift (New Earth),Secret Identity,Neutral,Grey,Black,Male,,126.0,1942-09-01,1942.0,dc
229,Frederick Freeman (New Earth),Secret Identity,Good,Blue,Black,Male,,125.0,1995-05-01,1995.0,dc
230,Katar Hol (New Earth),Secret Identity,Good,Blue,Black,Male,,125.0,1989-08-01,1989.0,dc
231,Richard Occult (New Earth),Secret Identity,,Grey,Black,Male,,125.0,1935-10-01,1935.0,dc
232,Maxima (New Earth),Public Identity,Good,Brown,Red,Female,,124.0,1989-09-01,1989.0,dc
233,Dawn Granger (New Earth),Secret Identity,Good,Blue,White,Female,,124.0,1988-10-01,1988.0,dc
234,Inza Cramer (New Earth),Secret Identity,Good,Green,Strawberry,Female,,124.0,1940-05-01,1940.0,dc
235,Linda Danvers (New Earth),Secret Identity,Good,Blue,Blond,Female,,123.0,1996-09-01,1996.0,dc
236,Dubbilex (New Earth),Public Identity,Good,Green,,Male,,123.0,1971-03-01,1971.0,dc
237,Gunner MacKay (New Earth),Public Identity,Good,Blue,Blond,Male,,123.0,1959-05-01,1959.0,dc
238,Antonia Monetti (New Earth),Secret Identity,Good,Blue,Black,Female,,122.0,1996-10-01,1996.0,dc
239,Jack Knight (New Earth),Public Identity,Good,Black,Black,Male,,122.0,1994-09-01,1994.0,dc
240,Skeets (New Earth),Public Identity,Good,,,Male,,122.0,1986-02-01,1986.0,dc
241,Nimue Inwudu (New Earth),Public Identity,Good,Green,Black,Female,,121.0,1978-02-01,1978.0,dc
242,Khaji Da (New Earth),Secret Identity,Good,,,,,121.0,1964-06-01,1964.0,dc
243,Sarge Clay (New Earth),Public Identity,Good,Blue,Strawberry,Male,,121.0,1959-05-01,1959.0,dc
244,Elizabeth Lawrence (New Earth),Secret Identity,,Blue,Blond,Female,,120.0,1942-12-01,1942.0,dc
245,Pallas Athena (New Earth),Public Identity,Neutral,Grey,Brown,Female,,118.0,1958-05-01,1958.0,dc
246,Crispus Allen (New Earth),Secret Identity,Good,Brown,,Male,,116.0,2000-03-01,2000.0,dc
247,Evan McCulloch (New Earth),Secret Identity,Bad,Brown,Brown,Male,,116.0,1989-02-01,1989.0,dc
248,Terrence Long (New Earth),Public Identity,Good,Blue,Red,Male,,116.0,1981-06-01,1981.0,dc
249,Strata (New Earth),Public Identity,Good,White,,Female,,115.0,1989-02-01,1989.0,dc
250,Granny Goodness (New Earth),Public Identity,Bad,Blue,White,Female,,115.0,1971-06-01,1971.0,dc
251,Dolphin (New Earth),,Good,Blue,Silver,Female,,115.0,1968-12-01,1968.0,dc
252,Zeus (New Earth),Public Identity,Neutral,Blue,White,Male,,115.0,1941-12-01,1941.0,dc
253,Holly Robinson (New Earth),Secret Identity,Good,Blue,Red,Female,Homosexual,114.0,1987-02-01,1987.0,dc
254,Martha Kane (New Earth),Public Identity,Good,Blue,Black,Female,,113.0,1987-02-01,1987.0,dc
255,Jason Woodrue (New Earth),Public Identity,Bad,Red,Green,Male,,113.0,1962-07-01,1962.0,dc
