,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
0,Batman (Bruce Wayne),Secret Identity,Good,Blue,Black,Male,,3093.0,1939-05-01,1939.0,dc
1,Superman (Clark Kent),Secret Identity,Good,Blue,Black,Male,,2496.0,1986-10-01,1986.0,dc
2,Green Lantern (Hal Jordan),Secret Identity,Good,Brown,Brown,Male,,1565.0,1959-10-01,1959.0,dc
3,James Gordon (New Earth),Public Identity,Good,Brown,White,Male,,1316.0,1987-02-01,1987.0,dc
4,Richard Grayson (New Earth),Secret Identity,Good,Blue,Black,Male,,1237.0,1940-04-01,1940.0,dc
5,Wonder Woman (Diana Prince),Public Identity,Good,Blue,Black,Female,,1231.0,1941-12-01,1941.0,dc
6,Aquaman (Arthur Curry),Public Identity,Good,Blue,Blond,Male,,1121.0,1941-11-01,1941.0,dc
7,Timothy Drake (New Earth),Secret Identity,Good,Blue,Black,Male,,1095.0,1989-08-01,1989.0,dc
8,Dinah Laurel Lance (New Earth),Public Identity,Good,Blue,Blond,Female,,1075.0,1969-11-01,1969.0,dc
9,Flash (Barry Allen),Secret Identity,Good,Blue,Blond,Male,,1028.0,1956-10-01,1956.0,dc
10,GenderTest,Secret Identity,Good,Blue,Blond,Female,,1028.0,1956-10-01,1956.0,dc
11,Alan Scott (New Earth),Secret Identity,Good,Blue,Blond,Male,,969.0,1940-07-01,1940.0,dc
12,Barbara Gordon (New Earth),Secret Identity,Good,Blue,Red,Female,,951.0,1967-01-01,1967.0,dc
13,Jason Garrick (New Earth),Public Identity,Good,Blue,Brown,Male,,951.0,1940-01-01,1940.0,dc
14,Lois Lane (New Earth),Public Identity,Good,Blue,Black,Female,,934.0,1938-06-01,1938.0,dc
15,Alfred Pennyworth (New Earth),Public Identity,Good,Blue,Black,Male,,930.0,1943-04-01,1943.0,dc
16,Carter Hall (New Earth),Secret Identity,Good,Blue,Brown,Male,,803.0,1940-01-01,1940.0,dc
17,Kyle Rayner (New Earth),Secret Identity,Good,Green,Black,Male,,716.0,1994-01-01,1994.0,dc
18,Raymond Palmer (New Earth),Public Identity,Good,Brown,,Male,,706.0,1961-10-01,1961.0,dc
19,Alexander Luthor (New Earth),Public Identity,Bad,Green,,Male,,677.0,1986-10-01,1986.0,dc
20,Roy Harper (New Earth),Secret Identity,Neutral,Green,Red,Male,,654.0,1941-11-01,1941.0,dc
21,Kara Zor-L (Earth-Two),Secret Identity,Good,Blue,Blond,Female,,635.0,1976-02-01,1976.0,dc
22,Ted Grant (New Earth),Secret Identity,,Blue,Black,Male,,605.0,1942-01-01,1942.0,dc
23,Garfield Logan (New Earth),Public Identity,Good,Green,Green,Male,,595.0,1965-11-01,1965.0,dc
24,Guy Gardner (New Earth),Public Identity,Good,Blue,Red,Male,,593.0,1968-03-01,1968.0,dc
25,Victor Stone (New Earth),Public Identity,Good,Brown,Black,Male,,584.0,1980-10-01,1980.0,dc
26,Kon-El (New Earth),Secret Identity,Good,Blue,Black,Male,,560.0,1993-06-01,1993.0,dc
27,Ralph Dibny (New Earth),Public Identity,,Blue,Red,Male,,558.0,1960-05-01,1960.0,dc
28,James Olsen (New Earth),Public Identity,Good,Green,Red,Male,,557.0,1986-10-01,1986.0,dc
29,John Stewart (New Earth),Public Identity,Good,Brown,Black,Male,,549.0,1971-12-01,1971.0,dc
30,Joker (New Earth),Secret Identity,Bad,Green,Green,Male,,517.0,1940-06-01,1940.0,dc
31,Franklin Rock (New Earth),Public Identity,Good,Blue,,Male,,492.0,1959-04-01,1959.0,dc
32,Garth (New Earth),Public Identity,Good,Purple,Black,Male,,487.0,1960-02-01,1960.0,dc
33,Rex Mason (New Earth),Secret Identity,,Black,,Male,,470.0,1965-01-01,1965.0,dc
34,Zatanna Zatara (New Earth),Public Identity,Good,Blue,Black,Female,,439.0,1964-11-01,1964.0,dc
35,Aztar (New Earth),Secret Identity,,White,,Male,,436.0,1940-02-01,1940.0,dc
36,Theodore Kord (New Earth),Secret Identity,,Blue,Brown,Male,,429.0,1986-02-01,1986.0,dc
37,Michael Jon Carter (New Earth),Public Identity,Good,Blue,Blond,Male,,427.0,1986-02-01,1986.0,dc
38,Cassandra Sandsmark (New Earth),Public Identity,Good,Blue,Blond,Female,,423.0,1996-01-01,1996.0,dc
39,Kent Nelson (New Earth),Secret Identity,Good,Blue,Blond,Male,,422.0,1940-05-01,1940.0,dc
40,Harvey Bullock (New Earth),Public Identity,Good,Brown,Black,Male,,413.0,1974-07-01,1974.0,dc
41,Rachel Roth (New Earth),Secret Identity,Good,Purple,Black,Female,,399.0,1980-10-01,1980.0,dc
42,Helena Bertinelli (New Earth),Secret Identity,Good,Blue,Black,Female,,393.0,1989-04-01,1989.0,dc
43,Wesley Dodds (New Earth),Secret Identity,Good,Brown,Brown,Male,,391.0,1939-04-01,1939.0,dc
44,Uxas (New Earth),Public Identity,Bad,Red,,Male,,388.0,1970-12-01,1970.0,dc
45,Nathaniel Adam (New Earth),Secret Identity,Good,Blue,White,Male,,386.0,1987-03-01,1987.0,dc
46,Ronald Raymond (New Earth),Secret Identity,Good,Blue,,Male,,386.0,1978-03-01,1978.0,dc
47,Red Tornado (New Earth),Secret Identity,Good,Green,,Male,,374.0,1968-08-01,1968.0,dc
48,John Constantine (New Earth),Public Identity,Good,Blue,Blond,Male,Bisexual,371.0,1984-06-01,1984.0,dc
49,Albert Pratt (New Earth),Secret Identity,Good,Blue,Red,Male,,370.0,1940-10-01,1940.0,dc
50,Charles McNider (New Earth),Secret Identity,,Blue,Blond,Male,,361.0,1941-04-01,1941.0,dc
51,Theodore Knight (New Earth),Secret Identity,Good,Brown,Brown,Male,,356.0,1941-04-01,1941.0,dc
52,Lobo (New Earth),Public Identity,Neutral,Red,Black,Male,,353.0,1983-06-01,1983.0,dc
53,Perry White (New Earth),Public Identity,,Blue,Brown,Male,,350.0,1986-10-01,1986.0,dc
54,John Henry Irons (New Earth),Public Identity,Good,Brown,,Male,,345.0,1993-06-01,1993.0,dc
55,Jefferson Pierce (New Earth),Secret Identity,Good,Brown,,Male,,344.0,1977-04-01,1977.0,dc
56,Slade Wilson (New Earth),Secret Identity,Neutral,Blue,White,Male,,336.0,1980-12-01,1980.0,dc
57,Phantom Stranger (New Earth),Secret Identity,,Black,Black,Male,,335.0,1952-09-01,1952.0,dc
58,Beatriz da Costa (New Earth),Secret Identity,Good,Green,Green,Female,,325.0,1982-06-01,1982.0,dc
59,William Batson (New Earth),Secret Identity,Good,Blue,Black,Male,,321.0,1940-02-01,1940.0,dc
60,Carol Ferris (New Earth),Public Identity,Neutral,Blue,Black,Female,,319.0,1959-10-01,1959.0,dc
61,Clifford Steele (New Earth),Public Identity,,Photocellular,,Male,,314.0,1963-06-01,1963.0,dc
62,Etrigan (New Earth),Public Identity,Neutral,Red,,Male,,311.0,1972-09-01,1972.0,dc
63,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good,Green,Green,Female,,309.0,1983-09-01,1983.0,dc
64,Swamp Thing (New Earth),Public Identity,Good,Red,,Male,,309.0,1972-11-01,1972.0,dc
65,Renee Montoya (New Earth),Secret Identity,Good,Brown,Black,Female,Homosexual,308.0,1992-03-01,1992.0,dc
66,Harvey Dent (New Earth),Public Identity,Bad,Blue,Brown,Male,,306.0,1942-08-01,1942.0,dc
67,Courtney Whitmore (New Earth),Secret Identity,Good,Blue,Blond,Female,,305.0,1999-07-01,1999.0,dc
68,Kendra Saunders (New Earth),Secret Identity,Good,Hazel,Brown,Female,,301.0,1999-08-01,1999.0,dc
69,Michael Holt (New Earth),Secret Identity,,Brown,Black,Male,,300.0,1997-06-01,1997.0,dc
70,Kilowog (New Earth),Public Identity,Good,Red,,Male,,299.0,1986-06-01,1986.0,dc
71,Kara Zor-El (New Earth),Secret Identity,Good,Blue,Blond,Female,,297.0,2004-05-01,2004.0,dc
